label,x,y
Fp1,-0.1217764170449,0.443231109529991
F7,-0.320586411510573,0.26936843419264
Fp2,0.121784910975205,0.444220932158295
F8,0.320586411510573,0.270768294702602
F3,-0.160158364611691,0.241103376667467
Fz,1.03813062042872e-16,0.234106278622394
F4,0.160158364611691,0.241103376667467
AFz,1.03813062042872e-16,0.338789390710713
FT9,-0.467262785245276,0.192119281342477
FC5,-0.281796755289131,0.144582443379362
FC1,-0.0919467955541943,0.132391532166617
FCz,0.00119339720788587,0.12887314260142
FC2,0.0919616599322285,0.132391532166617
FC6,0.281795693547842,0.142849702653645
FT10,0.467262785245276,0.191834900231005
T8,0.398507604648244,0.024585739113949
C4,0.200062849185696,0.0242363251126433
Cz,1.03813062042872e-16,0.0238858088589675
C3,-0.200062849185696,0.0242363251126433
T7,-0.398508666389532,0.0252856693689302
TP9,-0.467532467532468,-0.144335538848471
CP5,-0.280412244649377,-0.0966366697869594
CP1,-0.0919467955541943,-0.0844667013692454
CP2,0.0919616599322285,-0.0844667013692454
CP6,0.280411182908089,-0.0950780849357098
TP10,0.467532467532468,-0.144062180260699
P8,0.32166407891805,-0.223002188246518
P4,0.160428046898882,-0.193320736425831
Pz,1.03813062042872e-16,-0.186323638380758
P3,-0.160428046898882,-0.193320736425831
P7,-0.32166407891805,-0.221602327736555
PO9,-0.286505577902096,-0.376155746055383
Iz,-0.000501141888008985,-0.467532467532468
PO10,0.286501330936944,-0.373736302103125
O1,-0.124490227777423,-0.383713890556811
O2,0.124492351259999,-0.384648600566613
