label,x,y
Fp1,-0.126383386381155,0.438431721551068
Fpz,-0.00178659736053717,0.459183673469388
Fp2,0.122797679743928,0.438425710325786
AF8,0.230387646734945,0.375709394714231
AF7,-0.233971268052812,0.375711799204344
AF3,-0.120921934980808,0.335348825926217
AFz,-0.00194195365275776,0.348538656439854
AF4,0.11733935632262,0.335348825926217
F7,-0.325452142998134,0.274013889884452
F5,-0.244409334102615,0.254405273014758
F3,-0.163872215151574,0.239618861066237
F1,-0.0778580049049956,0.234341005268692
Fz,-0.00178659736053717,0.231019202177891
F2,0.074274383587128,0.234345814248918
F4,0.160288593833706,0.239618861066237
F6,0.240826755444427,0.254410081994983
F8,0.321860180402831,0.274013889884452
FT10,0.459028317177167,0.189524916301703
FT8,0.373470791870137,0.152791520848813
FC6,0.280104788224582,0.132072029547016
FC4,0.185642949256047,0.124965559018704
FC2,0.0883002415935158,0.11854557041759
FCz,-0.00178659736053717,0.116365900130358
FC1,-0.0918786496129868,0.118550379397816
FC3,-0.189225527914236,0.124965559018704
FC5,-0.283688409542449,0.132074434037128
FT7,-0.379636038554033,0.151904263997198
T7,-0.401017860598115,-1.14213280356283e-05
C5,-0.300594093583155,-1.14213280356283e-05
C3,-0.202150337299248,-1.14213280356283e-05
C1,-0.102716054319974,-1.14213280356283e-05
Cz,-0.00178659736053717,-1.14213280356283e-05
C2,0.0991334756617859,-1.14213280356283e-05
C4,0.198567758641059,-1.14213280356283e-05
C6,0.297001088328173,-1.14213280356283e-05
T8,0.397435281939927,-1.14213280356283e-05
TP10,0.459183673469388,-0.190083960252924
TP8,0.373453066655588,-0.15296223964682
CP6,0.280104788224582,-0.132085254242636
CP4,0.185642949256047,-0.124976379224212
CP2,0.0882960709547985,-0.118549177152759
CPz,-0.00178659736053717,-0.116376720335866
CP1,-0.0918755216339488,-0.118553986132985
CP3,-0.189225527914236,-0.124976379224212
CP5,-0.283688409542449,-0.132087658732749
TP7,-0.37703043201538,-0.152959835156707
TP9,-0.459183673469388,-0.20638640321755
P7,-0.325452142998134,-0.274024710089959
P5,-0.244409334102615,-0.254419699955434
P3,-0.16386178855478,-0.239629681271744
P1,-0.0778580049049956,-0.234355432209369
Pz,-0.00178659736053717,-0.231030022383399
P2,0.074274383587128,-0.234360241189594
P4,0.160279209896592,-0.239629681271744
P6,0.240826755444427,-0.25442450893566
P8,0.321860180402831,-0.274024710089959
PO8,0.230387646734945,-0.375722619409851
PO4,0.117317460469354,-0.335371668582288
POz,-0.00178659736053717,-0.348549476645361
PO3,-0.120900039127542,-0.335371668582288
PO7,-0.233971268052812,-0.375725023899964
O1,-0.126381301061796,-0.438436530531294
Oz,-0.00194195365275776,-0.459183673469388
O2,0.122796637084249,-0.438429317060955
COMNT,-0.459183673469388,-0.459183673469388
SCALE,0.459183673469388,-0.459183673469388
