label,x,y
Gnd,0.00119339720788587,0.467532467532468
Fp1,-0.1217764170449,0.443231109529991
AF7,-0.230236474853764,0.383632323881427
F7,-0.320586411510573,0.26936843419264
Fp2,0.121784910975205,0.444220932158295
AF8,0.230244968784069,0.382973176964138
F8,0.320586411510573,0.270768294702602
F10,0.395002796656046,0.331234552966395
F9,-0.395002796656046,0.331234552966395
F5,-0.241315745195657,0.25369991675239
F3,-0.160158364611691,0.241103376667467
F1,-0.0787334252231094,0.236853091528557
Fz,1.03813062042872e-16,0.234106278622394
F2,0.0787355487056857,0.236853091528557
F4,0.160158364611691,0.241103376667467
F6,0.241315745195658,0.25369991675239
AF4,0.117557057165773,0.327877092247225
AFz,1.03813062042872e-16,0.338789390710713
AF3,-0.117557057165773,0.327034971436508
FT9,-0.467262785245276,0.192119281342477
FT7,-0.375320236656235,0.162443340783641
FC5,-0.281796755289131,0.144582443379362
FC3,-0.18739096691157,0.135293762656957
FC1,-0.0919467955541943,0.132391532166617
FCz,0.00119339720788587,0.12887314260142
FC2,0.0919616599322285,0.132391532166617
FC4,0.187389905170282,0.135851502356202
FC6,0.281795693547842,0.142849702653645
FT8,0.375320236656235,0.162443340783641
FT10,0.467262785245276,0.191834900231005
T8,0.398507604648244,0.024585739113949
C6,0.297128299490084,0.0238858088589675
C4,0.200062849185696,0.0242363251126433
C2,0.0997612114350126,0.024585739113949
Cz,1.03813062042872e-16,0.0238858088589675
C1,-0.0997622731763008,0.0238858088589675
C3,-0.200062849185696,0.0242363251126433
C5,-0.297129361231372,0.0238858088589675
T7,-0.398508666389532,0.0252856693689302
TP9,-0.467532467532468,-0.144335538848471
TP7,-0.376129283517808,-0.114671723065705
CP5,-0.280412244649377,-0.0966366697869594
CP3,-0.188739378347526,-0.0875166336771717
CP1,-0.0919467955541943,-0.0844667013692454
CPz,0.00288793630378067,-0.0809483118040482
CP2,0.0919616599322285,-0.0844667013692454
CP4,0.188738316606238,-0.0880798846382669
CP6,0.280411182908089,-0.0950780849357098
TP8,0.376129283517808,-0.114671723065705
TP10,0.467532467532468,-0.144062180260699
P10,0.39081184351762,-0.28345632173424
P8,0.32166407891805,-0.223002188246518
P6,0.242124792057231,-0.205917276510754
P4,0.160428046898882,-0.193320736425831
P2,0.0781983076138795,-0.18903848596819
Ref,1.03813062042872e-16,-0.186323638380758
P1,-0.0781898136835742,-0.18903848596819
P3,-0.160428046898882,-0.193320736425831
P5,-0.242124792057231,-0.205917276510754
P7,-0.32166407891805,-0.221602327736555
P9,-0.39081184351762,-0.28345632173424
PO9,-0.286505577902096,-0.376155746055383
O9,-0.153974783349478,-0.441911713443042
Iz,-0.000501141888008985,-0.467532467532468
O10,0.153984339021072,-0.443341334766996
PO10,0.286501330936944,-0.373736302103125
PO6,0.233766764636878,-0.325435603247566
PO4,0.117017692591391,-0.28009445200559
POz,0.00134841143595644,-0.291017772992778
PO3,-0.11701769259139,-0.279257842456722
PO7,-0.23377101160203,-0.325765176706211
O1,-0.124490227777423,-0.383713890556811
Oz,-0.000501141888008985,-0.407740787719145
O2,0.124492351259999,-0.384648600566613
COMNT,-0.467532467532468,-0.467532467532468
SCALE,0.467532467532468,-0.467532467532468
T9,-0.492262785245276,0.0921192813424772
T10,0.492262785245276,0.0918349002310045
