label,inc,azi
GND,67.0,90.0
Fp1,-90.0,-72.0
Fp2,90.0,72.0
F3,-60.0,-51.0
F4,60.0,51.0
C3,-45.0,0.0
C4,45.0,0.0
P3,-60.0,51.0
P4,60.0,-51.0
O1,-90.0,72.0
O2,90.0,-72.0
F7,-90.0,-36.0
F8,90.0,36.0
T7,-90.0,0.0
T8,90.0,0.0
P7,-90.0,36.0
P8,90.0,-36.0
Fpz,90.0,90.0
Fz,45.0,90.0
FCz,23.0,90.0
Cz,0.0,0.0
Pz,45.0,-90.0
Oz,90.0,-90.0
FT9,-113.0,-18.0
FT10,113.0,18.0
M1,-121.0,18.0
M2,121.0,-18.0
EOG1,-121.0,-30.0
EOG2,121.0,30.0
EMG1,-154.0,-56.0
EMG2,-145.0,-61.0
EMG3,-138.0,-68.0
ECG,-156.0,49.0
AF3,-74.0,-68.0
AF4,74.0,68.0
F1,-49.0,-68.0
F2,49.0,68.0
F5,-74.0,-41.0
F6,74.0,41.0
FC1,-31.0,-46.0
FC2,31.0,46.0
FC3,-49.0,-29.0
FC4,49.0,29.0
FC5,-69.0,-21.0
FC6,69.0,21.0
FT7,-90.0,-18.0
FT8,90.0,18.0
C1,-23.0,0.0
C2,23.0,0.0
C5,-68.0,0.0
C6,68.0,0.0
CP1,-31.0,46.0
CP2,31.0,-46.0
CP3,-49.0,29.0
CP4,49.0,-29.0
CP5,-69.0,21.0
CP6,69.0,-21.0
TP7,-90.0,18.0
TP8,90.0,-18.0
P1,-49.0,68.0
P2,49.0,-68.0
P5,-74.0,41.0
P6,74.0,-41.0
PO3,-74.0,68.0
PO4,74.0,-68.0
